StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Connectors,duration
10,Recording_22,Process_3,2022-02-21T08:10:52+00:00,Click UI element in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Address and search bar\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 175 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",12.00,Check the weather and decide the demo date,Event_103,,02.00
11,Recording_22,Process_3,2022-02-21T08:10:54+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Name'; Text:'weather.com',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Address and search bar\\''] Text: 'weather.com' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",13.00,Check the weather and decide the demo date,Event_103,,01.00
12,Recording_22,Process_3,2022-02-21T08:10:55+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",14.00,Check the weather and decide the demo date,Event_103,,09.00
13,Recording_22,Process_3,2022-02-21T08:11:04+00:00,Populate text field in window,Edit 'Search City or Postcode' in Pane 'New Tab - Google Chrome - Name'; Text:'Banglore',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Search City or Postcode\\''] Text: 'Banglore' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",15.00,Check the weather and decide the demo date,Event_103,,06.00
14,Recording_22,Process_3,2022-02-21T08:11:10+00:00,Click UI element in window,Group 'Saved Locations' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Group \\'Saved Locations\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -32 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",16.00,Check the weather and decide the demo date,Event_103,,05.00
15,Recording_22,Process_3,2022-02-21T08:11:15+00:00,Click UI element in window,Hyperlink '10 Day' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Hyperlink \\'10 Day\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -1 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",17.00,Check the weather and decide the demo date,Event_103,,06.00
16,Recording_22,Process_3,2022-02-21T08:11:21+00:00,Press button in window,Button 'Mon 28 87°  ...  1% Wind E 11 mph' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Mon 28 87°  ...  1% Wind E 11 mph\\'']\n""]",18.00,Check the weather and decide the demo date,Event_103,,05.00
17,Recording_22,Process_3,2022-02-21T08:11:26+00:00,Drag and drop UI element in window,Image 'Sunny' in Text '87°' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: -4 MouseDownOffsetX: 4 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'87°\\''] MouseUpOffsetY: -1 MouseUpOffsetX: 5 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Image \\'Sunny\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",19.00,Check the weather and decide the demo date,Event_103,,08.00
18,Recording_22,Process_3,2022-02-21T08:11:34+00:00,Press button in window,Button 'New Tab' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'New Tab\\'']\n""]",20.00,Attach the brochure and send invitation mail,Event_104,,03.00
19,Recording_22,Process_3,2022-02-21T08:11:37+00:00,Click UI element in window,Hyperlink 'Gmail' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Hyperlink \\'Gmail\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 1 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",21.00,Attach the brochure and send invitation mail,Event_104,,04.00
20,Recording_22,Process_3,2022-02-21T08:11:41+00:00,Press button in window,Button 'Compose' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Compose\\'']\n""]",22.00,Attach the brochure and send invitation mail,Event_104,,04.00
21,Recording_22,Process_3,2022-02-21T08:11:45+00:00,Click UI element in window,Edit 'Subject' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Subject\\''] ClickType: UIAutomation.ClickType.LeftClick\n""]",23.00,Attach the brochure and send invitation mail,Event_104,,03.00
22,Recording_22,Process_3,2022-02-21T08:11:48+00:00,Send keys,TextToSend:'kru',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'kru'\n""]",24.00.00,Attach the brochure and send invitation mail,Event_104,,08.00
23,Recording_22,Process_3,2022-02-21T08:11:56+00:00,Click UI element in window,Text 'Email@Domain' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'Email@Domain\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 20 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",25.00.00,Attach the brochure and send invitation mail,Event_104,,01.00
24,Recording_22,Process_3,2022-02-21T08:11:57+00:00,Click UI element in window,Text 'S e n t f r o  ...  M T o : s u n s h a' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Text \\'S e n t f r o  ...  M T o : s u n s h a\\''] ClickType: UIAutomation.ClickType.LeftClick\n""]",26.00.00,Attach the brochure and send invitation mail,Event_104,,14.00
25,Recording_22,Process_3,2022-02-21T08:12:11+00:00,Populate text field in window,Edit 'Subject' in Pane 'New Tab - Google Chrome - Name'; Text:'Meeting Invite for project demo on 28th February',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Subject\\''] Text: 'Meeting Invite for project demo on 28th February' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",27.00.00,Attach the brochure and send invitation mail,Event_104,,05.00
26,Recording_22,Process_3,2022-02-21T08:12:16+00:00,Select menu option in window,Menu Item 'Attach files' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.SelectMenuOption Control: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Menu Item \\'Attach files\\'']\n""]",28.00.00,Attach the brochure and send invitation mail,Event_104,,03.00
27,Recording_22,Process_3,2022-02-21T08:12:19+00:00,Click UI element in window,Edit 'Name' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 10 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",29.00.00,Attach the brochure and send invitation mail,Event_104,,02.00
28,Recording_22,Process_3,2022-02-21T08:12:21+00:00,Press button in window,Button 'Open' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Open\\'']\n""]",30.00.00,Attach the brochure and send invitation mail,Event_104,,05.00
29,Recording_22,Process_3,2022-02-21T08:12:26+00:00,Populate text field in window,"Edit 'Message Body' in Pane 'New Tab - Google Chrome - Name'; Text:'Hello,'",chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Message Body\\''] Text: 'Hello,' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",31.00.00,Attach the brochure and send invitation mail,Event_104,,01.00
30,Recording_22,Process_3,2022-02-21T08:12:27+00:00,Send keys,TextToSend:'{Return}{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}{Return}'\n""]",33.00.00,Attach the brochure and send invitation mail,Event_104,,25.00.00
31,Recording_22,Process_3,2022-02-21T08:12:52+00:00,Populate text field in window,"Edit 'Message Body' in Pane 'New Tab - Google Chrome - Name'; Text:'''Hello,


Please join us for the project demo on 28th february at Banglore office.'''",chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Edit \\'Message Body\\''] Text: '''Hello,\n"", '\n', '\n', ""Please join us for the project demo on 28th february\xa0at Banglore office.''' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",34.00.00,Attach the brochure and send invitation mail,Event_104,,05.00
32,Recording_22,Process_3,2022-02-21T08:12:57+00:00,Press button in window,Button 'Send ‪(Ctrl-Enter)‬' in Pane 'New Tab - Google Chrome - Name',chrome,New Tab - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'New Tab - Google Chrome - Name\\'']['Button \\'Send \u202a(Ctrl-Enter)\u202c\\'']\n"", '# End of autogenerated actions using the desktop recorder\n']",,Attach the brochure and send invitation mail,Event_104,,00.00
